Distance_km,Bed_Elevation_m,Latitude,Longitude
6.293719827421041302e+00,-7.599935671950408960e+02,7.289038777591954954e+01,-5.489157805624054021e+01
6.328880289898186184e+00,-7.604325649021201343e+02,7.289038941258857562e+01,-5.489264834742749599e+01
6.364040752526039846e+00,-7.608743161780569153e+02,7.289039104337219044e+01,-5.489371863882179525e+01
6.399201215304079149e+00,-7.613188210228535127e+02,7.289039266827037977e+01,-5.489478893042269192e+01
6.434361678231794279e+00,-7.617660794365094716e+02,7.289039428728314363e+01,-5.489585922222943992e+01
6.469522141308666541e+00,-7.622292244393156579e+02,7.289039590041048200e+01,-5.489692951424129319e+01
6.504682604533948087e+00,-7.626978522336009974e+02,7.289039750765239489e+01,-5.489799980645749855e+01
6.539843067907110452e+00,-7.631700698913329006e+02,7.289039910900885388e+01,-5.489907009887730993e+01
6.575003531428123438e+00,-7.636458774125117088e+02,7.289040070447988739e+01,-5.490014039149999547e+01
6.610163995095760470e+00,-7.641311054161164975e+02,7.289040229406549543e+01,-5.490121068432478779e+01
6.645324458909965593e+00,-7.646277989707056122e+02,7.289040387776564955e+01,-5.490228097735095503e+01
6.680484922869765363e+00,-7.651292127649423946e+02,7.289040545558036399e+01,-5.490335127057773690e+01
6.715645386975116260e+00,-7.656353467988303692e+02,7.289040702750965295e+01,-5.490442156400440155e+01
6.750805851225027965e+00,-7.661486431776469317e+02,7.289040859355348800e+01,-5.490549185763018869e+01
6.785966315619230471e+00,-7.666830649156339632e+02,7.289041015371189758e+01,-5.490656215145435937e+01
6.821126780157184655e+00,-7.672223573803462386e+02,7.289041170798483904e+01,-5.490763244547616750e+01
6.856287244838155104e+00,-7.677665205717840990e+02,7.289041325637234081e+01,-5.490870273969485993e+01
6.891447709661878029e+00,-7.683155544899472034e+02,7.289041479887437447e+01,-5.490977303410969057e+01
6.926608174627560288e+00,-7.688887899002733093e+02,7.289041633549096844e+01,-5.491084332871992046e+01
6.961768639734716935e+00,-7.694725494777655967e+02,7.289041786622212271e+01,-5.491191362352479644e+01
6.996929104982829273e+00,-7.700606593953789343e+02,7.289041939106782308e+01,-5.491298391852357241e+01
7.032089570371131693e+00,-7.706531196531115029e+02,7.289042091002804113e+01,-5.491405421371549522e+01
7.067250035899593108e+00,-7.712624601968361731e+02,7.289042242310281949e+01,-5.491512450909983301e+01
7.102410501567235634e+00,-7.718952991808466777e+02,7.289042393029214395e+01,-5.491619480467582548e+01
7.137570967373763509e+00,-7.725317728297993654e+02,7.289042543159600029e+01,-5.491726510044273368e+01
7.172731433318191741e+00,-7.731718811436963961e+02,7.289042692701438853e+01,-5.491833539639979733e+01
7.207891899400718394e+00,-7.738164046986091762e+02,7.289042841654730864e+01,-5.491940569254629168e+01
7.243052365620351374e+00,-7.745043145967617875e+02,7.289042990019477486e+01,-5.492047598888145643e+01
7.278212831976583530e+00,-7.751950400966125017e+02,7.289043137795677296e+01,-5.492154628540454553e+01
7.313373298468655470e+00,-7.758885811981630241e+02,7.289043284983328874e+01,-5.492261658211480579e+01
7.348533765096291859e+00,-7.765849379014121041e+02,7.289043431582433641e+01,-5.492368687901149826e+01
7.383694231858984658e+00,-7.773117588871609769e+02,7.289043577592993017e+01,-5.492475717609387686e+01
7.418854698756195631e+00,-7.780560060736197556e+02,7.289043723015001319e+01,-5.492582747336119553e+01
7.454015165787206243e+00,-7.788025842344098919e+02,7.289043867848465652e+01,-5.492689777081270108e+01
7.489175632951712736e+00,-7.795492683723211940e+02,7.289044012093380331e+01,-5.492796806844765456e+01
7.524336100248743442e+00,-7.803052395827417058e+02,7.289044155749748199e+01,-5.492903836626529568e+01
7.559496567678248624e+00,-7.810848267537044194e+02,7.289044298817567835e+01,-5.493010866426489258e+01
7.594657035239237075e+00,-7.818643415530207221e+02,7.289044441296837817e+01,-5.493117896244568499e+01
7.629817502931902418e+00,-7.826437839806885677e+02,7.289044583187559567e+01,-5.493224926080694814e+01
7.664977970755032288e+00,-7.834231540367114803e+02,7.289044724489734506e+01,-5.493331955934791466e+01
7.700138438707878841e+00,-7.842156751843383518e+02,7.289044865203361212e+01,-5.493438985806783137e+01
